1,YOU WILL NOT BE DISAPPOINTED,你不会失望的
2,SHOW YOUR APPRECIATION,展示你的感激之情
3,YOUR ACTIONS WILL IMPROVE THINGS,你的行动将改善事物
4,DON’T BET ON IT,不要赌
5,ADOPT AN ADVENTUROUS ATTITUDE,采取冒险的态度
6,FOLLOW THE ADVICE OF EXPERTS,听取专家意见
7,"YOU COULD FIND YOURSELF UNABLE TO COMPROMISE",你可能会发现自己无法做到
8,FOCUS ON YOUR HOME LIFE,专注于你的家庭生活
9,INVESTIGATE AND THEN ENJOY IT,调查然后享受它
10,DEFINITELY,无疑
11,ONLY DO IT ONCE,只做一次
12,YOU MAY HAVE OPPOSITION,你可能会遇到反对
13,IT WILL REMAIN UNPREDICTABLE,它将保持不可预测
14,YOU’LL NEED TO TAKE THE INITIATIVE,你需要主动
15,CONSIDER IT AN OPPORTUNITY,认为这是机会
16,BE DELIBERATE,深思熟虑
17,ABSOLUTELY NOT,绝对不
18,EXPLORE IT WITH PLAYFUL CURIOSITY,铆足你的好奇心去探索
19,"PERHAPS, WHEN YOU’RE OLDER",也许吧，当你长大时
20,BE DELIGHTFULLY SURE OF IT,愉快地确定
21,BETTER TO WAIT,最好等等
22,REPRIORITIZE WHAT IS IMPORTANT,轻重缓急
23,IT SEEMS ASSURED,看来有戏
24,CREATE MORE SPACE FOR IT,创造更多空间
25,DO IT EARLY,趁早行动
26,KEEP IT TO YOURSELF,给你自己留着
27,ALLOW YOURSELF TO REST FIRST,先让自己休息
28,IT IS SENSIBLE,这是明智的
29,YOU’LL HAVE TO MAKE IT UP AS YOU GO,你得边做边想，随机应变
30,"STARTLING EVENTS MAY OCCUR AS A RESULT",可能会发生出乎意料的事件
31,"THE ANSWER MAY COME TO YOU IN ANOTHER LANGUAGE",答案可能以其他语言呈现给你
32,YOU WILL NEED TO ACCOMMODATE,你将需要包容
33,DOUBT IT,质疑
34,IT WILL BRING GOOD LUCK,它会带来好运
35,"IT MAY BE CHALLENGING, BUT YOU WILL FIND VALUE IN IT",这可能是具有挑战性的，但你能行
36,BE PATIENT,要有耐心
37,"YOU WILL FIND OUT EVERYTHING YOU’LL NEED TO KNOW",你会发现一切
38,"THERE IS A SUBSTANTIAL LINK TO ANOTHER SITUATION",与另一个有重要联系
39,WATCH AND SEE WHAT HAPPENS,静观其变
40,"YOU KNOW BETTER NOW THAN EVER BEFORE",你比以往任何时间都清楚
41,IT WILL AFFECT HOW OTHERS SEE YOU,它将影响别人看你的方式
42,RECONSIDER YOUR APPROACH,重新考虑你的方法
43,YOU’LL BE HAPPY YOU DID,你会很高兴你这样做了
44,GET IT IN WRITING,立此存照
45,UNFAVORABLE AT THIS TIME,目前不利
46,"IT IS NOT SOMETHING TO BE TAKEN LIGHTLY",不可轻视
47,UPGRADE IN ANY WAY YOU CAN,尽一切可能升级
48,IF YOU DO AS YOU’RE TOLD,如果你按照指示行事
49,"IF IT’S DONE WELL; IF NOT, DON’T DO IT AT ALL",如果做得好，就做，如果做得不好，就不要做
50,DON’T ASK FOR ANY MORE AT THIS TIME,停止索求
51,AVOID THE FIRST SOLUTION,避免第一种方案
52,YOU’LL GET THE FINAL WORD,你说了算
53,"PROCEED AT A MORE RELAXED PACE",放缓脚步
54,"THE BEST SOLUTION MAY NOT BE THE OBVIOUS ONE",可能不是最佳解决方案
55,REMAIN FLEXIBLE,保持灵活
56,RESPECT THE RULES,尊重规则
57,TAKE THE LEAD,带头行动
58,"CHOOSE YOUR WORDS THOUGHTFULLY",字斟句酌
59,"YOU MAY BE HANGING ON TO AN OUTDATED IDEAL",你可能会坚持
60,THERE MAY BE A STRUGGLE,可能会有一场斗争
61,"YOU’LL HAVE THE ENTHUSIASM YOU’LL NEED",你会拥有热情
62,PROVIDED YOU SAY “THANK YOU”,"只要你说 ""谢谢"""
63,ENJOY THE EXPERIENCE,享受这场体验
64,APPROACH CAUTIOUSLY,慎入
65,BE YOUR OWN BEST ADVOCATE,做自己最好的拥护者
66,BE HAPPY FOR ANOTHER,为别人感到开心
67,PAY ATTENTION TO THE DETAILS,注意细节
68,WATCH YOUR STEP AS YOU GO,检查你的步骤
69,SPEAK UP ABOUT IT,大声说出来
70,DON’T HESITATE,不要犹豫
71,"THIS IS A GOOD TIME TO MAKE A NEW PLAN",现在是制定新计划的好时机
72,MOVE ON,继续前进
73,"A STRONG COMMITMENT WILL ACHIEVE GOOD RESULTS",坚定的承诺会取得良好的结果
74,IT MAY NOT BE LOGICAL,未必合乎逻辑
75,THERE IS NO GUARANTEE,不保证
76,"THE CIRCUMSTANCES COULD CHANGE VERY QUICKLY",情况可能会很快改变
77,"DON’T GET CAUGHT UP IN YOUR EMOTIONS",不要沉浸在情绪中
78,SHIFT YOUR FOCUS,转变你的注意力
79,IT IS SIGNIFICANT,意义重大
80,REPRIORITIZE WHAT IS IMPORTANT,轻重缓急
81,MAKE A LIST OF WHY NOT,列出来为什么不做的原因
82,DON’T WAIT,不要等待
83,TAKE YOUR TIME,慢慢来
84,"THERE IS GOOD REASON TO BE OPTIMISTIC",有充分的理由乐观
85,IT IS SOMETHING YOU WON’T FORGET,让你终生难忘
86,"SEEK OUT MORE OPTIONS",寻求更多选择
87,"FOLLOW THROUGH ON YOUR OBLIGATIONS",履行义务
88,"DEAL WITH IT LATER",稍后处理
89,"REVEAL YOUR THOUGHTS TO A TRUSTED CONFIDANTE",向知己吐露心声
90,"FOLLOW SOMEONE ELSE’S LEAD",跟随别人的领导
